user_id,role_id
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,3
11,3
11,2
12,3
13,2
14,2
15,2
16,4
17,4
18,4
19,4
20,1
21,1
22,1
23,1
24,1
25,1
26,1
27,1
28,1
29,1
30,1
31,1
32,1
33,1
34,1
35,1
36,1
37,1
38,1
39,1
40,1
41,3
42,3
43,3
44,3
45,3
46,3
47,2
48,2
49,2
50,4
51,4
52,4
53,4
54,4
55,4
56,4
57,1
58,1
59,1
60,1
61,1
62,1
63,1
64,1
65,1
66,1
67,1
68,1
69,1
70,1
71,1
72,1
73,1
74,3
75,3
76,3
77,2
78,2
79,2
80,2
81,4
82,4
83,4
84,4
85,4
86,4
87,4
88,4
89,4
90,4
91,4
